user_id,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,primary_track
u023,A,A,B,C,D,C,C,B,A,A,D,D,D,C,B,B,B,A,A,D,social
u024,D,A,A,D,B,A,D,B,D,A,D,C,C,B,C,D,D,A,D,A,social
u025,D,D,B,D,D,A,A,D,B,D,C,C,C,C,D,B,D,B,A,C,social
u026,A,B,A,C,C,D,C,D,B,C,D,A,C,A,D,D,A,A,D,A,tech
u027,C,C,B,D,B,B,A,D,C,D,A,B,C,B,B,C,C,A,A,D,social
u028,B,B,D,A,A,C,B,A,D,A,A,D,D,A,A,A,D,A,C,C,design
u029,A,C,D,D,A,C,C,C,D,B,A,A,B,D,B,B,D,C,C,C,data
u030,B,D,A,A,A,B,B,A,C,A,D,C,A,A,A,C,D,C,B,D,design
u031,B,C,D,A,A,C,C,D,C,D,B,C,D,B,B,A,C,A,D,B,social
u032,B,A,C,D,D,C,D,B,C,C,B,C,B,B,C,B,A,B,B,A,social
u033,B,C,B,C,B,A,A,C,A,C,B,C,C,D,C,D,A,D,D,B,data
u034,D,C,C,C,B,A,A,A,B,D,B,D,C,A,D,B,A,C,A,B,design
u035,A,D,C,B,D,A,C,C,C,C,D,C,A,A,C,D,C,A,D,C,tech
u036,C,A,A,D,D,D,D,A,B,B,D,D,B,B,A,B,D,C,A,D,data
u037,B,B,C,C,A,C,B,C,A,A,C,D,B,C,C,A,A,A,B,C,data
u038,A,B,B,D,D,A,D,C,D,B,A,C,D,B,C,A,D,C,A,C,data
u039,A,D,A,A,A,B,A,A,B,D,B,D,B,B,A,B,B,B,D,B,data
u040,D,C,C,C,D,C,B,C,A,D,C,A,B,A,A,D,A,A,A,D,social
u041,B,B,C,D,D,B,B,D,D,D,B,A,B,A,D,C,D,D,D,D,tech
u042,D,D,B,B,B,D,B,C,C,D,A,A,C,C,C,D,D,A,D,A,data
u043,B,A,B,A,C,B,D,C,D,A,B,A,C,B,B,D,D,B,C,C,data
u044,C,A,D,A,D,D,C,D,A,D,A,B,A,C,A,D,C,B,B,A,social
u045,A,B,D,A,C,C,A,D,C,A,A,B,A,D,A,D,C,A,C,D,design
u046,A,C,B,B,C,C,B,B,B,A,C,D,C,A,C,A,B,A,D,D,tech
u047,C,D,B,A,A,A,A,B,C,B,B,D,C,D,A,D,A,C,B,A,business
u048,D,A,C,C,D,D,C,C,D,C,D,D,D,D,C,D,D,C,D,A,business
u049,C,D,B,B,D,A,B,A,B,B,A,C,B,B,A,A,D,C,B,C,social
u050,B,D,A,A,A,C,B,D,D,A,B,B,B,B,A,A,C,C,A,C,business
u051,D,A,A,B,C,D,A,B,C,C,A,B,B,D,C,C,D,A,B,C,business
u052,B,A,B,A,B,A,D,B,A,C,B,B,C,D,A,A,B,C,A,D,design
u053,A,A,C,C,B,C,B,C,B,B,D,C,B,A,B,C,A,C,D,C,data
u054,A,D,D,D,C,D,A,D,A,D,B,A,A,A,D,B,A,D,B,B,design
u055,B,B,A,B,D,D,D,D,C,D,B,D,C,A,D,B,D,B,C,B,business
u056,D,A,D,C,C,A,C,C,A,B,A,C,D,D,A,A,A,B,D,D,tech
u057,C,A,B,D,B,C,C,C,A,B,B,A,B,C,B,B,A,A,C,A,design
u058,C,A,B,A,D,A,A,A,C,D,A,B,A,C,C,A,C,A,A,A,data
u059,C,B,D,D,A,D,B,B,D,A,B,A,D,D,A,A,D,D,D,D,design
u060,C,B,A,D,C,D,A,C,A,D,D,C,C,B,C,B,C,D,B,D,social
u061,B,D,C,D,C,C,D,B,A,A,A,D,C,D,D,C,A,C,C,A,design
u062,C,B,C,A,A,B,A,C,A,A,D,A,B,C,B,D,D,C,B,B,social
u063,C,C,C,D,A,B,A,D,B,A,B,B,B,A,C,A,C,D,B,D,design
u064,D,D,A,B,D,D,A,A,A,D,D,A,D,C,A,B,D,C,A,A,data
u065,D,B,C,C,D,A,C,B,B,C,A,D,B,B,A,B,B,C,D,A,business
u066,C,D,A,D,A,C,A,B,D,D,B,B,A,B,B,D,B,C,A,C,business
u067,C,B,A,B,B,D,C,C,B,B,D,C,A,A,D,D,B,B,A,B,data
u068,B,B,A,C,D,B,A,B,A,B,B,D,B,C,B,B,C,B,C,C,business
u069,D,A,D,B,C,C,D,C,B,C,B,C,A,C,A,A,B,D,D,B,social
u070,A,C,B,D,D,D,D,A,A,B,D,D,D,B,C,A,B,A,B,B,tech
u071,B,A,B,C,A,D,A,C,B,D,A,D,D,D,C,C,D,B,D,A,business
u072,A,C,C,B,C,B,D,D,A,B,D,C,C,B,B,C,A,C,B,B,social
u073,A,D,D,A,A,D,B,B,D,A,C,D,D,B,A,D,B,B,D,C,social
u074,D,A,A,D,B,B,D,A,D,C,C,D,D,D,A,B,A,C,D,D,data
u075,A,A,C,A,A,B,D,B,B,A,D,D,B,C,C,A,A,C,B,D,design
u076,B,D,C,A,A,D,C,A,C,C,C,A,D,A,B,A,C,D,C,B,social
u077,B,B,D,B,D,D,D,A,D,A,B,C,D,C,B,A,B,B,C,A,business
u078,A,A,B,B,C,A,D,B,B,A,B,D,A,B,B,B,C,C,B,C,tech
u079,A,A,A,D,B,A,D,B,B,A,C,A,B,D,C,B,D,C,B,A,design
u080,D,A,B,B,C,B,B,D,C,D,C,A,C,C,D,B,C,A,C,C,data
u081,A,D,B,D,A,C,A,C,B,B,A,A,D,D,B,C,A,C,B,C,data
u082,B,B,D,C,B,A,A,A,A,C,D,D,A,D,A,C,C,B,C,D,social
u083,C,B,D,D,A,B,D,C,A,A,B,B,C,C,C,A,A,D,B,A,design
u084,D,A,D,C,B,B,C,B,D,D,D,A,D,D,C,D,C,C,A,D,data
u085,D,A,B,B,D,B,C,A,C,A,A,D,A,B,A,D,C,C,A,B,business
u086,B,D,B,D,A,D,B,B,D,A,B,D,C,D,D,D,B,C,A,D,design
u087,B,C,B,B,B,A,B,D,B,A,A,D,B,C,C,C,A,C,A,D,tech
u088,B,C,C,A,D,D,B,D,C,C,D,D,A,C,C,B,A,A,C,A,design
u089,B,A,D,D,C,A,D,B,D,C,D,B,B,C,C,A,D,B,A,B,social
u090,B,C,C,D,C,B,C,B,C,B,D,B,C,A,C,A,A,A,C,C,social
u091,D,B,B,C,C,B,A,B,B,A,A,A,A,A,D,C,C,B,B,B,business
u092,C,A,D,C,B,C,A,B,C,D,B,D,D,D,B,C,D,A,B,D,tech
u093,D,D,A,A,B,B,D,D,A,A,D,C,A,B,A,C,C,B,D,C,data
u094,A,A,C,A,C,B,A,D,D,B,B,A,A,A,A,A,A,C,B,A,data
u095,D,C,C,D,C,A,C,C,D,D,B,C,C,A,A,A,A,B,D,B,design
u096,D,D,C,B,A,B,B,B,C,B,B,C,B,B,A,A,B,D,D,D,tech
u097,C,A,A,C,D,B,D,C,B,A,D,A,C,D,C,A,C,D,C,A,design
u098,A,A,D,B,A,A,A,D,D,A,C,C,B,D,D,C,B,A,D,A,data
u099,A,C,A,A,D,A,C,C,C,D,B,D,D,B,D,A,D,A,A,A,tech
u100,D,D,A,D,B,A,D,C,A,B,A,A,D,B,C,D,A,D,A,A,business
u101,C,C,A,A,A,D,B,B,A,C,B,A,C,D,B,D,D,A,C,A,design
u102,A,C,C,D,A,C,B,D,B,C,C,B,C,C,D,B,D,B,A,B,tech
u103,B,D,C,B,C,B,B,C,C,A,D,A,A,A,C,C,A,A,A,A,data
u104,D,A,D,A,A,D,A,B,C,C,D,C,C,B,B,C,A,C,C,C,tech
u105,A,D,C,D,C,B,A,D,B,D,C,A,D,B,A,D,B,A,B,B,data
u106,A,B,A,A,A,C,D,B,A,D,D,C,C,A,C,B,C,D,C,A,tech
u107,B,D,B,C,C,C,A,A,A,D,C,D,B,D,A,B,A,D,D,A,social
u108,A,A,D,B,B,D,B,B,C,A,B,A,D,D,A,B,D,A,C,A,business
u109,B,A,A,B,A,B,B,B,A,B,D,B,B,A,A,C,D,B,A,A,data
u110,C,D,D,A,B,B,A,D,A,B,C,B,B,A,C,D,C,B,B,B,data
u111,B,B,C,B,C,D,B,B,C,A,B,B,D,B,A,D,B,D,C,C,social
u112,C,D,C,A,C,A,A,B,A,B,A,C,A,B,D,B,C,C,D,B,tech
u113,D,C,D,B,D,D,A,A,A,A,C,D,A,C,A,D,A,C,B,B,social
u114,C,D,C,C,D,C,C,B,A,D,A,A,D,D,B,A,A,D,B,A,design
u115,D,D,A,C,D,D,D,C,A,D,B,B,C,B,C,C,D,C,C,A,design
u116,C,C,B,B,C,D,A,D,B,D,B,C,B,D,B,C,D,D,B,A,tech
u117,C,D,A,D,B,C,C,A,D,D,B,C,D,B,C,B,C,B,D,C,social
u118,B,A,C,A,A,A,B,C,C,B,D,D,C,A,A,B,D,B,C,B,design
u119,B,C,B,C,C,D,C,C,A,C,B,A,C,B,D,B,C,B,B,A,data
u120,D,D,B,D,A,D,C,B,B,C,D,B,D,C,C,A,D,C,B,D,tech
u121,C,D,B,C,C,A,A,D,C,A,A,C,C,D,B,A,B,B,D,D,business
u122,B,C,D,C,A,A,C,D,C,A,D,B,A,C,D,B,B,D,A,A,data
u123,B,B,C,B,A,C,D,B,D,A,A,C,D,A,C,B,A,B,A,B,data
u124,A,D,C,D,B,D,D,C,A,C,A,A,A,A,B,B,B,A,D,D,data
u125,B,B,D,D,B,A,B,B,D,B,C,B,C,A,A,C,A,D,B,A,design
u126,D,C,D,D,A,A,A,C,A,C,C,B,D,A,A,B,C,D,A,A,business
u127,D,B,A,D,C,D,D,B,C,A,C,B,C,A,B,C,D,D,D,B,social
u128,B,C,C,A,A,C,C,A,B,A,A,D,A,D,B,A,C,C,A,D,tech
u129,A,B,D,D,C,D,B,A,A,B,C,D,C,C,C,A,C,C,B,A,tech
u130,B,D,C,B,D,C,C,D,A,A,C,B,C,B,B,A,A,B,D,D,design
u131,B,D,B,A,D,D,D,A,D,C,B,C,B,A,C,C,D,C,D,D,tech
u132,D,A,B,C,C,C,D,B,C,A,B,D,D,A,D,B,A,D,D,B,social
u133,C,D,A,D,B,D,D,B,D,A,B,C,A,A,A,D,B,C,A,A,data
u134,C,D,B,C,A,B,B,A,B,A,B,D,C,D,B,A,D,C,A,B,social
u135,D,C,C,A,C,C,C,D,A,B,C,C,A,A,B,C,B,C,B,B,business
u136,C,B,A,D,D,D,B,C,B,C,C,A,A,D,B,D,A,A,C,A,business
u137,D,A,D,A,B,D,C,B,B,B,A,D,C,D,D,C,C,C,B,B,data
u138,A,D,B,B,D,C,C,A,C,A,B,C,B,C,B,D,A,B,D,A,data
u139,C,A,B,D,A,C,C,C,C,C,C,B,D,A,B,D,D,B,C,C,business
u140,D,B,A,A,B,D,C,C,B,B,D,A,D,D,A,B,A,A,C,D,design
u141,B,B,A,A,B,B,A,D,B,D,B,B,B,B,D,A,A,A,D,D,social
u142,B,A,D,A,A,C,D,D,D,A,B,A,B,C,C,D,C,C,D,D,data
u143,D,B,A,C,C,A,B,A,B,C,D,A,B,C,A,A,C,A,A,A,social
u144,B,C,A,B,A,C,D,D,B,D,A,C,B,C,C,B,B,C,C,D,business
u145,C,C,B,A,A,D,C,B,B,B,D,C,A,C,C,A,D,C,C,A,business
u146,C,C,B,A,D,B,A,D,A,C,C,B,D,D,C,A,C,D,A,C,tech
u147,D,D,D,C,B,A,D,C,C,C,D,A,C,A,A,A,C,C,C,A,data
u148,B,C,D,A,A,A,D,A,D,A,A,B,A,C,B,C,A,D,C,C,design
u149,D,D,A,B,C,D,D,D,C,C,C,A,B,A,C,A,B,C,A,B,business
u150,B,A,C,B,A,D,B,A,A,D,C,D,B,B,C,C,A,A,C,A,social
u151,A,A,B,B,A,A,B,A,B,A,B,C,A,C,A,B,C,C,D,D,data
u152,A,B,B,C,A,C,D,D,A,B,C,B,A,D,C,C,D,A,C,C,tech
u153,B,C,B,B,A,A,B,C,C,A,D,B,B,D,C,B,D,A,A,A,social
u154,C,D,A,D,D,D,B,B,C,C,D,D,B,A,C,B,D,A,A,C,business
u155,C,C,C,A,B,A,A,C,A,A,D,B,C,D,A,B,D,C,C,C,data
u156,A,A,B,B,D,B,A,B,A,A,A,B,A,A,A,A,B,A,D,A,tech
u157,B,D,B,C,B,A,C,D,B,B,C,B,B,B,A,B,D,D,B,B,social
u158,C,B,B,A,B,C,D,D,C,A,D,A,C,A,C,D,D,B,C,C,data
u159,C,B,B,A,D,D,C,B,A,D,A,B,B,B,D,C,D,D,B,C,tech
u160,D,A,B,B,D,B,A,A,C,A,C,D,D,A,D,B,C,D,B,B,design
u161,A,D,D,A,A,C,B,C,D,A,D,D,D,A,A,A,D,D,D,A,data
u162,C,B,A,B,A,B,B,B,A,D,C,A,D,C,C,D,A,C,A,C,data
u163,B,B,D,C,B,C,B,B,A,D,D,D,C,B,C,C,A,B,B,D,business
u164,A,D,C,C,A,D,A,D,D,A,A,D,D,D,A,B,B,A,B,B,data
u165,C,D,A,B,C,A,B,B,B,D,B,D,C,C,D,D,D,B,C,B,data
u166,A,B,A,B,D,B,C,D,D,D,A,A,A,C,D,C,B,A,D,A,business
u167,D,B,C,D,C,C,B,D,B,C,C,D,B,C,A,D,C,D,B,B,design
u168,D,A,B,D,C,C,D,A,C,A,B,A,C,C,D,D,D,D,A,C,social
u169,D,A,D,C,C,D,D,A,B,D,C,B,B,D,D,C,D,A,B,B,design
u170,C,C,C,B,B,A,A,D,A,D,B,B,D,C,C,B,A,C,A,C,social
u171,B,A,C,A,C,A,A,C,D,B,B,D,A,D,D,D,D,C,C,C,design
u172,C,D,A,A,B,C,B,D,C,B,C,D,D,C,B,A,A,A,B,B,data
u173,C,A,B,B,A,B,D,A,C,C,D,D,D,C,C,C,D,D,A,C,data
u174,B,B,B,B,C,B,C,B,D,C,D,B,A,C,D,D,D,B,D,C,social
u175,C,A,D,A,D,D,D,A,C,D,C,B,B,C,A,C,D,A,B,C,tech
u176,B,C,D,D,A,D,A,C,D,C,A,A,A,A,C,D,D,A,C,A,business
u177,D,D,A,B,D,B,C,C,C,D,D,A,D,D,D,A,D,D,C,C,social
u178,A,A,B,A,C,C,B,D,D,B,D,B,B,A,A,A,D,C,C,A,business
u179,D,D,D,A,D,D,C,B,C,C,A,D,A,C,B,D,A,C,D,B,business
u180,B,D,A,C,C,D,D,C,D,A,D,D,B,A,A,B,A,B,D,A,design
u181,D,D,B,C,B,C,A,D,A,A,A,D,A,D,C,D,A,B,C,D,tech
u182,D,C,C,C,A,C,A,B,C,D,D,C,C,A,C,B,D,D,D,D,data
u183,C,A,D,B,C,B,C,D,D,D,D,B,B,B,C,D,B,B,D,D,social
u184,B,C,A,D,C,C,D,A,A,D,A,D,B,C,C,A,C,D,A,C,social
u185,B,C,B,C,A,D,D,D,D,A,C,C,B,D,A,A,C,C,A,B,business
u186,C,C,B,B,C,B,C,C,A,B,D,D,A,D,A,D,B,A,A,B,design
u187,A,C,B,C,D,A,C,D,C,B,C,C,A,A,A,D,C,B,A,D,data
u188,D,B,A,B,C,B,C,B,A,C,D,A,C,B,A,B,C,B,C,B,tech
u189,B,C,D,C,C,D,B,A,B,B,B,B,C,D,B,A,C,D,C,B,design
u190,D,D,B,A,C,A,B,A,C,D,D,C,C,D,D,A,B,B,B,B,data
u191,B,B,D,A,A,B,B,B,D,A,D,D,C,C,C,B,D,B,B,A,social
u192,C,A,C,C,B,D,B,B,A,C,D,D,D,D,D,C,B,A,A,B,design
u193,A,B,A,A,B,D,B,B,B,D,A,D,B,C,B,A,D,D,D,B,data
u194,D,C,D,C,C,A,D,A,D,C,D,B,C,D,C,A,B,B,A,A,business
u195,C,D,B,D,A,B,C,D,D,D,C,B,A,A,B,D,C,A,D,C,tech
u196,B,C,C,C,C,B,D,B,C,C,D,A,D,C,C,B,D,A,B,C,social
u197,A,A,D,A,C,B,D,A,D,D,B,C,D,A,C,D,D,A,D,D,design
u198,D,D,D,D,D,C,B,A,C,A,D,D,B,A,D,A,B,A,B,A,tech
u199,C,C,C,B,D,D,A,D,A,B,D,B,A,D,C,A,C,B,D,C,tech
u200,D,A,C,B,D,C,B,D,C,B,D,D,A,D,C,D,D,C,B,D,design
